week_start_date,forecasted_sales,lower_ci,upper_ci
2024-11-17,114604.76684196896,63258.58154914297,165950.95213479496
2024-11-24,113011.50036955018,61468.30376347032,164554.69697563004
2024-12-01,113036.68771833471,61227.53719560705,164845.83824106236
2024-12-08,113036.28954103682,60963.72072864001,165108.85835343364
2024-12-15,113036.29583567155,60701.61609245118,165370.97557889193
2024-12-22,113036.29573616205,60440.81157336716,165631.77989895694
2024-12-29,113036.29573773516,60181.294032162565,165891.29744330776
2025-01-05,113036.29573771029,59923.04450729035,166149.54696813022
2025-01-12,113036.29573771068,59666.04459313156,166406.5468822898
2025-01-19,113036.29573771068,59410.276323575614,166662.31515184575
2025-01-26,113036.29573771068,59155.722158962155,166916.8693164592
2025-02-02,113036.29573771068,58902.364972019226,167170.22650340214
2025-02-09,113036.29573771068,58650.18803441555,167422.4034410058
2025-02-16,113036.29573771068,58399.17500387113,167673.41647155024
2025-02-23,113036.29573771068,58149.30991179834,167923.28156362302
2025-03-02,113036.29573771068,57900.57715144716,168172.0143239742
2025-03-09,113036.29573771068,57652.961466529545,168419.6300088918
2025-03-16,113036.29573771068,57406.44794029954,168666.1435351218
2025-03-23,113036.29573771068,57161.02198506701,168911.56949035433
2025-03-30,113036.29573771068,56916.669332124075,169155.92214329727
2025-04-06,113036.29573771068,56673.37602206469,169399.21545335668
2025-04-13,113036.29573771068,56431.1283954786,169641.46307994277
2025-04-20,113036.29573771068,56189.91308400228,169882.6783914191
2025-04-27,113036.29573771068,55949.7170017102,170122.87447371116
2025-05-04,113036.29573771068,55710.52733683075,170362.0641385906
2025-05-11,113036.29573771068,55472.33154377189,170600.25993164946
